Origin,Result,Status
https://ece.ubc.ca/~fvogt/,403 @ https://ece.ubc.ca/~fvogt/,Site is secured; I don't have access
https://ece.ubc.ca/~ivanov/,302 @ https://ece.ubc.ca/~ivanov/; and finally 200 @ https://ece.ubc.ca/faculty/andre-ivanov,Site redirects to ece.ubc.ca
https://ece.ubc.ca/~dany/,200 @ https://ece.ubc.ca/~dany/,Site is hosted here
https://ece.ubc.ca/~faizalk/,200 @ https://ece.ubc.ca/~faizalk/,Site is hosted here
https://ece.ubc.ca/~farzadk/,200 @ https://ece.ubc.ca/~farzadk/,Site is hosted here
https://ece.ubc.ca/~jamesc/,200 @ https://ece.ubc.ca/~jamesc/,Site is hosted here
https://ece.ubc.ca/~lyon/,200 @ https://ece.ubc.ca/~lyon/,Site is hosted here
https://ece.ubc.ca/~mkarimib/,200 @ https://ece.ubc.ca/~mkarimib/,Site is hosted here
https://ece.ubc.ca/~rfoist/,200 @ https://ece.ubc.ca/~rfoist/,Site is hosted here
https://ece.ubc.ca/~shahinbayat/,200 @ https://ece.ubc.ca/~shahinbayat/,Site is hosted here
https://ece.ubc.ca/~smchiu/,200 @ https://ece.ubc.ca/~smchiu/,Site is hosted here
https://ece.ubc.ca/~amesbah/,200 @ https://ece.ubc.ca/~amesbah/,Site is hosted here
https://ece.ubc.ca/~aminmf/,200 @ https://ece.ubc.ca/~aminmf/,Site is hosted here
https://ece.ubc.ca/~arashvhb/,200 @ https://ece.ubc.ca/~arashvhb/,Site is hosted here
https://ece.ubc.ca/~azarei/,200 @ https://ece.ubc.ca/~azarei/,Site is hosted here
https://ece.ubc.ca/~janab/,200 @ https://ece.ubc.ca/~janab/,Site is hosted here
https://ece.ubc.ca/~kgallaba/,301 @ https://ece.ubc.ca/~kgallaba/; and finally 200 @ http://keheliya.github.io//,Site redirects somewhere else
https://ece.ubc.ca/~merfani/,200 @ https://ece.ubc.ca/~merfani/,Site is hosted here
https://ece.ubc.ca/~primal/,200 @ https://ece.ubc.ca/~primal/,Site is hosted here
https://ece.ubc.ca/~qhanam/,200 @ https://ece.ubc.ca/~qhanam/,Site is hosted here
https://ece.ubc.ca/~rhootan/,200 @ https://ece.ubc.ca/~rhootan/,Site is hosted here
https://ece.ubc.ca/~saba/,200 @ https://ece.ubc.ca/~saba/,Site is hosted here
https://ece.ubc.ca/~shabnamm/,200 @ https://ece.ubc.ca/~shabnamm/,Site is hosted here
https://ece.ubc.ca/~treza/,200 @ https://ece.ubc.ca/~treza/,Site is hosted here
https://ece.ubc.ca/~mehdi/,200 @ https://ece.ubc.ca/~mehdi/,Site is hosted here
https://ece.ubc.ca/~anojeh/,302 @ https://ece.ubc.ca/~anojeh/; and finally 200 @ https://nanostructure.ece.ubc.ca/,Site redirects to ece.ubc.ca
https://ece.ubc.ca/~akhosham/,200 @ https://ece.ubc.ca/~akhosham/,Site is hosted here
https://ece.ubc.ca/~alikn/,200 @ https://ece.ubc.ca/~alikn/,Site is hosted here
https://ece.ubc.ca/~hungc/,200 @ https://ece.ubc.ca/~hungc/,Site is hosted here
https://ece.ubc.ca/~kawsar/,200 @ https://ece.ubc.ca/~kawsar/,Site is hosted here
https://ece.ubc.ca/~parhamy/,200 @ https://ece.ubc.ca/~parhamy/,Site is hosted here
https://ece.ubc.ca/~smotavas/,403 @ https://ece.ubc.ca/~smotavas/,Site is secured; I don't have access
https://ece.ubc.ca/~boriss/,200 @ https://ece.ubc.ca/~boriss/,Site is hosted here
https://ece.ubc.ca/~chen/,200 @ https://ece.ubc.ca/~chen/,Site is hosted here
https://ece.ubc.ca/~adamw/,200 @ https://ece.ubc.ca/~adamw/,Site is hosted here
https://ece.ubc.ca/~jhuft/,200 @ https://ece.ubc.ca/~jhuft/,Site is hosted here
https://ece.ubc.ca/~cleung/,200 @ https://ece.ubc.ca/~cleung/,Site is hosted here
https://ece.ubc.ca/~haitaos/,200 @ https://ece.ubc.ca/~haitaos/,Site is hosted here
https://ece.ubc.ca/~joyz/,200 @ https://ece.ubc.ca/~joyz/,Site is hosted here
https://ece.ubc.ca/~seyedm/,200 @ https://ece.ubc.ca/~seyedm/,Site is hosted here
https://ece.ubc.ca/~steffenb/,403 @ https://ece.ubc.ca/~steffenb/,Site is secured; I don't have access
https://ece.ubc.ca/~wtam/,301 @ https://ece.ubc.ca/~wtam/; and finally 200 @ https://ece.ubc.ca/~wtam/index.html/,Site redirects to ece.ubc.ca
https://ece.ubc.ca/~yinh/,200 @ https://ece.ubc.ca/~yinh/,Site is hosted here
https://ece.ubc.ca/~ifblake/,200 @ https://ece.ubc.ca/~ifblake/,Site is hosted here
https://ece.ubc.ca/~alnadabi/,200 @ https://ece.ubc.ca/~alnadabi/,Site is hosted here
https://ece.ubc.ca/~amrm/,200 @ https://ece.ubc.ca/~amrm/,Site is hosted here
https://ece.ubc.ca/~bgill/,200 @ https://ece.ubc.ca/~bgill/,Site is hosted here
https://ece.ubc.ca/~elkilani/,200 @ https://ece.ubc.ca/~elkilani/,Site is hosted here
https://ece.ubc.ca/~emrey/,200 @ https://ece.ubc.ca/~emrey/,Site is hosted here
https://ece.ubc.ca/~feip/,403 @ https://ece.ubc.ca/~feip/,Site is secured; I don't have access
https://ece.ubc.ca/~feiy/,403 @ https://ece.ubc.ca/~feiy/,Site is secured; I don't have access
https://ece.ubc.ca/~kidongl/,200 @ https://ece.ubc.ca/~kidongl/,Site is hosted here
https://ece.ubc.ca/~liyunw/,403 @ https://ece.ubc.ca/~liyunw/,Site is secured; I don't have access
https://ece.ubc.ca/~marym/,200 @ https://ece.ubc.ca/~marym/,Site is hosted here
https://ece.ubc.ca/~minchen/,200 @ https://ece.ubc.ca/~minchen/,Site is hosted here
https://ece.ubc.ca/~piplup/,302 @ https://ece.ubc.ca/~piplup/; and finally 404 @ https://courses.ece.ubc.ca/piplup/,Site redirects to ece.ubc.ca
https://ece.ubc.ca/~rayl/,200 @ https://ece.ubc.ca/~rayl/,Site is hosted here
https://ece.ubc.ca/~raymondk/,200 @ https://ece.ubc.ca/~raymondk/,Site is hosted here
https://ece.ubc.ca/~rguo/,200 @ https://ece.ubc.ca/~rguo/,Site is hosted here
https://ece.ubc.ca/~robt/,200 @ https://ece.ubc.ca/~robt/,Site is hosted here
https://ece.ubc.ca/~ronyp/,200 @ https://ece.ubc.ca/~ronyp/,Site is hosted here
https://ece.ubc.ca/~serkucuk/,200 @ https://ece.ubc.ca/~serkucuk/,Site is hosted here
https://ece.ubc.ca/~tkhattab/,200 @ https://ece.ubc.ca/~tkhattab/,Site is hosted here
https://ece.ubc.ca/~vijayv/,200 @ https://ece.ubc.ca/~vijayv/,Site is hosted here
https://ece.ubc.ca/~yasserp/,200 @ https://ece.ubc.ca/~yasserp/,Site is hosted here
https://ece.ubc.ca/~zhifengj/,200 @ https://ece.ubc.ca/~zhifengj/,Site is hosted here
https://ece.ubc.ca/~kkleung/,403 @ https://ece.ubc.ca/~kkleung/,Site is secured; I don't have access
https://ece.ubc.ca/~rayc/,200 @ https://ece.ubc.ca/~rayc/,Site is hosted here
https://ece.ubc.ca/~bt/,200 @ https://ece.ubc.ca/~bt/,Site is hosted here
https://ece.ubc.ca/~satcom/,200 @ https://ece.ubc.ca/~satcom/,Site is hosted here
https://ece.ubc.ca/~bul/,403 @ https://ece.ubc.ca/~bul/,Site is secured; I don't have access
https://ece.ubc.ca/~commweb/,403 @ https://ece.ubc.ca/~commweb/,Site is secured; I don't have access
https://ece.ubc.ca/~isplc/,403 @ https://ece.ubc.ca/~isplc/,Site is secured; I don't have access
https://ece.ubc.ca/~qixiangp/,200 @ https://ece.ubc.ca/~qixiangp/,Site is hosted here
https://ece.ubc.ca/~davem/,200 @ https://ece.ubc.ca/~davem/,Site is hosted here
https://ece.ubc.ca/~arghavan/,200 @ https://ece.ubc.ca/~arghavan/,Site is hosted here
https://ece.ubc.ca/~chrish/,403 @ https://ece.ubc.ca/~chrish/,Site is secured; I don't have access
https://ece.ubc.ca/~eliou/,200 @ https://ece.ubc.ca/~eliou/,Site is hosted here
https://ece.ubc.ca/~jimc/,200 @ https://ece.ubc.ca/~jimc/,Site is hosted here
https://ece.ubc.ca/~jinm/,200 @ https://ece.ubc.ca/~jinm/,Site is hosted here
https://ece.ubc.ca/~mghasemi/,200 @ https://ece.ubc.ca/~mghasemi/,Site is hosted here
https://ece.ubc.ca/~nxin/,200 @ https://ece.ubc.ca/~nxin/,Site is hosted here
https://ece.ubc.ca/~schiu/,200 @ https://ece.ubc.ca/~schiu/,Site is hosted here
https://ece.ubc.ca/~shahzadb/,403 @ https://ece.ubc.ca/~shahzadb/,Site is secured; I don't have access
https://ece.ubc.ca/~weiwenl/,200 @ https://ece.ubc.ca/~weiwenl/,Site is hosted here
https://ece.ubc.ca/~prop/,200 @ https://ece.ubc.ca/~prop/,Site is hosted here
https://ece.ubc.ca/~alilotfi/,200 @ https://ece.ubc.ca/~alilotfi/,Site is hosted here
https://ece.ubc.ca/~pulfrey/,200 @ https://ece.ubc.ca/~pulfrey/,Site is hosted here
https://ece.ubc.ca/~ali-m/,200 @ https://ece.ubc.ca/~ali-m/,Site is hosted here
https://ece.ubc.ca/~davej/,200 @ https://ece.ubc.ca/~davej/,Site is hosted here
https://ece.ubc.ca/~dylanm/,200 @ https://ece.ubc.ca/~dylanm/,Site is hosted here
https://ece.ubc.ca/~georgea/,200 @ https://ece.ubc.ca/~georgea/,Site is hosted here
https://ece.ubc.ca/~jasonc/,200 @ https://ece.ubc.ca/~jasonc/,Site is hosted here
https://ece.ubc.ca/~leonardo/,200 @ https://ece.ubc.ca/~leonardo/,Site is hosted here
https://ece.ubc.ca/~lic/,200 @ https://ece.ubc.ca/~lic/,Site is hosted here
https://ece.ubc.ca/~edmondc/,200 @ https://ece.ubc.ca/~edmondc/,Site is hosted here
https://ece.ubc.ca/~cgerardo/,200 @ https://ece.ubc.ca/~cgerardo/,Site is hosted here
https://ece.ubc.ca/~motieian/,200 @ https://ece.ubc.ca/~motieian/,Site is hosted here
https://ece.ubc.ca/~weiy/,200 @ https://ece.ubc.ca/~weiy/,Site is hosted here
https://ece.ubc.ca/~farshid/,200 @ https://ece.ubc.ca/~farshid/,Site is hosted here
https://ece.ubc.ca/~guyd/,200 @ https://ece.ubc.ca/~guyd/,Site is hosted here
https://ece.ubc.ca/~sadati/,200 @ https://ece.ubc.ca/~sadati/,Site is hosted here
https://ece.ubc.ca/~alis/,200 @ https://ece.ubc.ca/~alis/,Site is hosted here
https://ece.ubc.ca/~aliz/,200 @ https://ece.ubc.ca/~aliz/,Site is hosted here
https://ece.ubc.ca/~amine/,200 @ https://ece.ubc.ca/~amine/,Site is hosted here
https://ece.ubc.ca/~bmolavi/,200 @ https://ece.ubc.ca/~bmolavi/,Site is hosted here
https://ece.ubc.ca/~chrisb/,200 @ https://ece.ubc.ca/~chrisb/,Site is hosted here
https://ece.ubc.ca/~eranda/,200 @ https://ece.ubc.ca/~eranda/,Site is hosted here
https://ece.ubc.ca/~fazelf/,200 @ https://ece.ubc.ca/~fazelf/,Site is hosted here
https://ece.ubc.ca/~jmaidens/,200 @ https://ece.ubc.ca/~jmaidens/,Site is hosted here
https://ece.ubc.ca/~mahdiyou/,200 @ https://ece.ubc.ca/~mahdiyou/,Site is hosted here
https://ece.ubc.ca/~mandel/,200 @ https://ece.ubc.ca/~mandel/,Site is hosted here
https://ece.ubc.ca/~pedrama/,200 @ https://ece.ubc.ca/~pedrama/,Site is hosted here
https://ece.ubc.ca/~pingy/,200 @ https://ece.ubc.ca/~pingy/,Site is hosted here
https://ece.ubc.ca/~soroushk/,200 @ https://ece.ubc.ca/~soroushk/,Site is hosted here
https://ece.ubc.ca/~terenceg/,200 @ https://ece.ubc.ca/~terenceg/,Site is hosted here
https://ece.ubc.ca/~xinmeis/,200 @ https://ece.ubc.ca/~xinmeis/,Site is hosted here
https://ece.ubc.ca/~ylgng/,200 @ https://ece.ubc.ca/~ylgng/,Site is hosted here
https://ece.ubc.ca/~ecem/,200 @ https://ece.ubc.ca/~ecem/,Site is hosted here
https://ece.ubc.ca/~walterk/,200 @ https://ece.ubc.ca/~walterk/,Site is hosted here
https://ece.ubc.ca/~lemieux/,200 @ https://ece.ubc.ca/~lemieux/,Site is hosted here
https://ece.ubc.ca/~aaronsev/,200 @ https://ece.ubc.ca/~aaronsev/,Site is hosted here
https://ece.ubc.ca/~ameer/,200 @ https://ece.ubc.ca/~ameer/,Site is hosted here
https://ece.ubc.ca/~dariusc/,200 @ https://ece.ubc.ca/~dariusc/,Site is hosted here
https://ece.ubc.ca/~davidg/,200 @ https://ece.ubc.ca/~davidg/,Site is hosted here
https://ece.ubc.ca/~hosseino/,200 @ https://ece.ubc.ca/~hosseino/,Site is hosted here
https://ece.ubc.ca/~jasony/,200 @ https://ece.ubc.ca/~jasony/,Site is hosted here
https://ece.ubc.ca/~keithlee/,200 @ https://ece.ubc.ca/~keithlee/,Site is hosted here
https://ece.ubc.ca/~pault/,200 @ https://ece.ubc.ca/~pault/,Site is hosted here
https://ece.ubc.ca/~uahmed/,200 @ https://ece.ubc.ca/~uahmed/,Site is hosted here
https://ece.ubc.ca/~altera/,200 @ https://ece.ubc.ca/~altera/,Site is hosted here
https://ece.ubc.ca/~aaronl/,200 @ https://ece.ubc.ca/~aaronl/,Site is hosted here
https://ece.ubc.ca/~andreg/,200 @ https://ece.ubc.ca/~andreg/,Site is hosted here
https://ece.ubc.ca/~darrent/,200 @ https://ece.ubc.ca/~darrent/,Site is hosted here
https://ece.ubc.ca/~elizac/,403 @ https://ece.ubc.ca/~elizac/,Site is secured; I don't have access
https://ece.ubc.ca/~haow/,403 @ https://ece.ubc.ca/~haow/,Site is secured; I don't have access
https://ece.ubc.ca/~hawkey/,200 @ https://ece.ubc.ca/~hawkey/,Site is hosted here
https://ece.ubc.ca/~jimh/,200 @ https://ece.ubc.ca/~jimh/,Site is hosted here
https://ece.ubc.ca/~johnsont/,200 @ https://ece.ubc.ca/~johnsont/,Site is hosted here
